CAMPUS	ALLRTF	CAD_MATH	CAD_PROGRESS	CAD_READ	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_MAXPTS	CI4_MET	CI4_TOTPTS	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME	RFTED
057909045	N	1	0	1	JACKSON TECHNOLOGY CENTER	 	N	N	N	N	N	N	N	N	N	N	N	82	50	3659	Y	3018	36	29	2800	Y	1015	83	55	1200	Y	992	.	75	.	 	.	DALLAS	057	138	10.4	1323	1272	865	68	153	12	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909046	N	1	0	0	O'BANION MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	69	50	3075	Y	2128	32	29	2000	Y	648	67	55	1500	Y	1002	.	75	.	 	.	DALLAS	057	204	16.4	1242	1093	948	86.7	155	14.2	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909047	N	1	1	1	CLASSICAL CENTER AT BRANDENBURG MS	 	N	N	N	N	N	N	N	N	N	N	N	90	50	3331	Y	3009	40	29	2800	Y	1111	85	55	1500	Y	1279	.	75	.	 	.	DALLAS	057	85	7.1	1193	1154	623	54	45	3.9	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909048	N	1	1	0	SELLERS MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	75	50	2242	Y	1691	40	29	2400	Y	950	76	55	1500	Y	1139	.	75	.	 	.	DALLAS	057	164	18	911	791	644	81.4	111	14	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909049	N	1	0	1	WEBB MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	83	50	3279	Y	2724	37	29	2400	Y	882	77	55	1500	Y	1162	.	75	.	 	.	DALLAS	057	124	9.8	1263	1147	649	56.6	118	10.3	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909050	N	0	0	0	COYLE MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	81	50	3504	Y	2824	35	29	2800	Y	983	77	55	1500	Y	1150	.	75	.	 	.	DALLAS	057	118	9.5	1241	1213	538	44.4	68	5.6	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909051	N	0	0	1	LYLES MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	68	50	2559	Y	1742	35	29	2400	Y	834	60	55	1000	Y	603	.	75	.	 	.	DALLAS	057	201	19.1	1051	915	660	72.1	59	6.4	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909052	N	1	0	0	B G HUDSON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	83	50	3306	Y	2733	35	29	2800	Y	978	77	55	1500	Y	1153	.	75	.	 	.	DALLAS	057	123	10.3	1192	1155	533	46.1	94	8.1	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909053	N	 	 	 	GISD ALTERNATIVE SCHOOL	 	N	N	N	Y	N	N	N	N	N	N	N	.	50	.	X	.	.	.	0	X	.	.	55	0	X	.	.	75	.	X	.	DALLAS	057	763	99.9	764	114	77	67.5	9	7.9	X	 	GARLAND ISD	12	04	04 - 12	B	 	 	10	REGION 10: RICHARDSON	 
057909054	N	0	0	0	VERNON SCHRADE MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	79	50	3612	Y	2843	34	29	2400	Y	824	71	55	1500	Y	1061	.	75	.	 	.	DALLAS	057	143	10.6	1352	1272	566	44.5	105	8.3	M	 	GARLAND ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057909101	N	1	0	1	BEAVER TECHNOLOGY CENTER	 	N	N	N	N	N	N	N	N	N	N	N	86	50	813	Y	701	45	30	2000	Y	898	80	55	800	Y	639	.	75	.	 	.	DALLAS	057	22	4.3	507	573	304	53.1	183	31.9	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909102	N	0	0	0	BULLOCK EL	 	N	N	N	N	N	N	N	N	N	N	N	77	50	521	Y	401	35	30	800	Y	280	86	55	700	Y	604	.	75	.	 	.	DALLAS	057	76	16.6	459	610	531	87	377	61.8	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909103	N	0	0	1	CALDWELL EL	 	N	N	N	N	N	N	N	N	N	N	N	82	50	429	Y	353	42	30	800	Y	332	87	55	700	Y	609	.	75	.	 	.	DALLAS	057	79	18.4	429	435	410	94.3	239	54.9	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909105	N	0	0	0	CENTERVILLE EL	 	N	N	N	N	N	N	N	N	N	Y	N	75	50	424	Y	317	44	30	800	Y	355	78	55	900	Y	705	.	75	.	 	.	DALLAS	057	57	16.2	351	389	329	84.6	178	45.8	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909107	N	1	0	1	COOPER EL	 	N	N	N	N	N	N	N	N	N	N	N	84	50	601	Y	505	41	30	1200	Y	493	80	55	600	Y	482	.	75	.	 	.	DALLAS	057	58	10.8	537	601	435	72.4	319	53.1	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909108	N	0	0	0	DAUGHERTY EL	 	N	N	N	N	N	N	N	N	N	N	N	74	50	360	Y	265	33	30	1000	Y	331	78	55	400	Y	311	.	75	.	 	.	DALLAS	057	53	14.4	369	306	289	94.4	158	51.6	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909109	N	1	1	1	FREEMAN EL	 	N	N	N	N	N	N	N	N	N	N	N	73	50	389	Y	283	58	30	800	Y	464	69	55	800	Y	548	.	75	.	 	.	DALLAS	057	81	23	352	384	323	84.1	154	40.1	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909110	N	0	0	0	HANDLEY EL	 	N	N	N	N	N	N	N	N	N	N	N	62	50	650	Y	400	32	30	1200	Y	379	54	55	800	N	431	.	75	.	 	.	DALLAS	057	169	26.6	635	658	582	88.4	240	36.5	I	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909111	N	1	1	1	KIMBERLIN ACAD FOR EXCEL	 	N	N	N	N	N	N	N	N	N	N	N	94	50	635	Y	599	60	30	1600	Y	965	91	55	1000	Y	905	.	75	.	 	.	DALLAS	057	29	6.6	440	468	192	41	75	16	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909112	N	0	0	0	PARK CREST EL	 	N	N	N	N	N	N	N	N	N	N	N	69	50	449	Y	311	35	30	800	Y	279	79	55	700	Y	556	.	75	.	 	.	DALLAS	057	58	13.8	420	510	453	88.8	307	60.2	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909113	N	0	0	0	SOUTHGATE EL	 	N	N	N	N	N	N	N	N	N	N	N	77	50	357	Y	274	39	30	800	Y	315	79	55	400	Y	316	.	75	.	 	.	DALLAS	057	79	20.8	379	413	341	82.6	188	45.5	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909115	N	1	1	1	WATSON TECHNOLOGY CENTER	 	N	N	N	N	N	N	N	N	N	N	N	88	50	831	Y	735	51	30	1600	Y	816	89	55	1000	Y	890	.	75	.	 	.	DALLAS	057	28	5.4	520	624	361	57.9	208	33.3	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909116	N	0	0	0	WEAVER EL	 	N	N	N	N	N	N	N	N	N	N	N	65	50	431	Y	281	41	30	800	Y	325	62	55	800	Y	498	.	75	.	 	.	DALLAS	057	76	19.7	386	521	411	78.9	251	48.2	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909117	N	0	0	0	WILLIAMS EL	 	N	N	N	N	N	N	N	N	N	N	N	74	50	385	Y	285	40	30	800	Y	321	69	55	600	Y	416	.	75	.	 	.	DALLAS	057	53	16.8	316	317	257	81.1	165	52.1	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909119	N	0	0	1	BRADFIELD EL	 	N	N	N	N	N	N	N	N	N	N	N	73	50	493	Y	361	45	30	1000	Y	452	73	55	400	Y	290	.	75	.	 	.	DALLAS	057	43	9.7	443	536	464	86.6	344	64.2	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909120	N	0	0	1	SHOREHAVEN EL	 	N	N	N	N	N	N	N	N	N	N	N	84	50	423	Y	357	38	30	800	Y	304	83	55	700	Y	582	.	75	.	 	.	DALLAS	057	71	17.2	412	459	386	84.1	208	45.3	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909121	N	0	0	0	MONTCLAIR EL	 	N	N	N	N	N	N	N	N	N	N	N	81	50	481	Y	388	43	30	800	Y	343	79	55	600	Y	476	.	75	.	 	.	DALLAS	057	52	14.1	370	448	376	83.9	218	48.7	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909122	N	1	1	1	WALNUT GLEN ACAD FOR EXCEL	 	N	N	N	N	N	N	N	N	N	N	N	98	50	672	Y	659	70	30	1600	Y	1114	98	55	800	Y	782	.	75	.	 	.	DALLAS	057	24	5.4	447	544	275	50.6	161	29.6	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909123	N	0	1	0	GOLDEN MEADOWS EL	 	N	N	N	N	N	N	N	N	N	N	N	73	50	594	Y	435	49	30	800	Y	391	75	55	600	Y	449	.	75	.	 	.	DALLAS	057	92	17.8	517	495	434	87.7	260	52.5	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909124	N	0	0	0	HEATHER GLEN EL	 	N	N	N	N	N	N	N	N	N	N	N	72	50	660	Y	474	32	30	1200	Y	384	67	55	600	Y	401	.	75	.	 	.	DALLAS	057	126	21.6	582	593	502	84.7	263	44.4	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909125	N	1	1	1	HILLSIDE ACAD FOR EXCEL	 	N	N	N	N	N	N	N	N	N	N	N	92	50	628	Y	577	56	30	1600	Y	888	89	55	900	Y	798	.	75	.	 	.	DALLAS	057	24	5.7	420	452	212	46.9	89	19.7	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909126	N	1	0	1	DAVIS EL	 	N	N	N	N	N	N	N	N	N	N	N	80	50	672	Y	537	39	30	1200	Y	467	77	55	900	Y	697	.	75	.	 	.	DALLAS	057	105	17	618	691	559	80.9	347	50.2	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909127	N	1	1	1	ROACH EL	 	N	N	N	N	N	N	N	N	N	N	N	93	50	423	Y	394	61	30	1200	Y	727	92	55	400	Y	366	.	75	.	 	.	DALLAS	057	70	17.2	406	441	337	76.4	262	59.4	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909128	N	0	0	1	ETHRIDGE EL	 	N	N	N	N	N	N	N	N	N	Y	N	83	50	736	Y	612	33	30	800	Y	264	84	55	600	Y	501	.	75	.	 	.	DALLAS	057	121	17.9	675	707	562	79.5	372	52.6	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909129	N	0	0	1	CLASSICAL CENTER AT VIAL EL	 	N	N	N	N	N	N	N	N	N	N	N	89	50	785	Y	695	40	30	1600	Y	641	83	55	700	Y	582	.	75	.	 	.	DALLAS	057	33	6	551	615	321	52.2	116	18.9	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909132	N	0	0	0	CLUB HILL EL	 	N	N	N	N	N	N	N	N	N	N	N	79	50	562	Y	446	43	30	1200	Y	518	78	55	900	Y	699	.	75	.	 	.	DALLAS	057	70	15.6	449	549	404	73.6	165	30.1	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909133	N	0	0	0	HICKMAN EL	 	N	N	N	N	N	N	N	N	N	N	N	79	50	666	Y	523	45	30	1200	Y	535	75	55	1000	Y	752	.	75	.	 	.	DALLAS	057	51	9.5	536	633	459	72.5	279	44.1	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909134	N	0	1	1	NORTHLAKE EL	 	N	N	N	N	N	N	N	N	N	N	N	85	50	731	Y	620	46	30	1200	Y	554	85	55	900	Y	764	.	75	.	 	.	DALLAS	057	89	14.8	602	619	489	79	269	43.5	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909135	N	 	 	 	COOP BEHAVIORAL CTR	 	N	N	N	N	N	N	N	N	N	N	N	43	50	49	N	21	.	17	0	Z	.	42	55	500	N	209	50	75	100	N	50	DALLAS	057	43	67.2	64	36	25	69.4	1	2.8	X	3	GARLAND ISD	12	KG	KG - 12	B	 	 	10	REGION 10: RICHARDSON	 
057909136	N	1	1	1	TOLER EL	 	N	N	N	N	N	N	N	N	N	N	N	82	50	704	Y	578	46	30	1600	Y	733	79	55	1000	Y	787	.	75	.	 	.	DALLAS	057	163	25.4	642	655	466	71.1	146	22.3	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909137	N	0	0	0	ROWLETT EL	 	N	N	N	N	N	N	N	N	N	N	N	83	50	814	Y	678	42	30	1200	Y	502	84	55	900	Y	759	.	75	.	 	.	DALLAS	057	55	9.6	574	637	336	52.7	169	26.5	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909138	N	1	1	1	SPRING CREEK EL	 	N	N	N	N	N	N	N	N	N	N	N	85	50	634	Y	538	54	30	1600	Y	859	85	55	800	Y	676	.	75	.	 	.	DALLAS	057	83	14.3	579	634	471	74.3	293	46.2	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909139	N	0	0	0	LUNA EL	 	N	N	N	N	N	N	N	N	N	N	N	86	50	598	Y	513	44	30	1200	Y	527	81	55	800	Y	650	.	75	.	 	.	DALLAS	057	56	12.9	435	495	209	42.2	101	20.4	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909140	N	0	0	0	BACK EL	 	N	N	N	N	N	N	N	N	N	N	N	76	50	520	Y	397	35	30	1600	Y	563	73	55	800	Y	584	.	75	.	 	.	DALLAS	057	54	12.4	436	519	307	59.2	177	34.1	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909141	N	1	1	1	SHUGART EL	 	N	N	N	N	N	N	N	N	N	N	N	78	50	585	Y	456	56	30	1600	Y	892	78	55	900	Y	699	.	75	.	 	.	DALLAS	057	82	17.2	478	601	472	78.5	176	29.3	M	 	GARLAND ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909142	N	0	0	1	HERFURTH EL	 	N	N	N	N	N	N	N	N	N	N	N	84	50	534	Y	446	42	30	1600	Y	678	85	55	800	Y	683	.	75	.	 	.	DALLAS	057	97	20.2	480	461	303	65.7	160	34.7	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909143	N	1	1	1	ABBETT EL	 	N	N	N	N	N	N	N	N	N	N	N	92	50	734	Y	675	53	30	1200	Y	638	91	55	600	Y	545	.	75	.	 	.	DALLAS	057	55	9.4	586	644	229	35.6	154	23.9	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909144	N	0	0	1	KEELEY EL	 	N	N	N	N	N	N	N	N	N	N	N	95	50	778	Y	738	44	30	1200	Y	533	94	55	800	Y	753	.	75	.	 	.	DALLAS	057	57	10.1	565	628	160	25.5	81	12.9	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909145	N	0	0	0	ROBERT B SEWELL EL	 	N	N	N	N	N	N	N	N	N	N	N	86	50	637	Y	548	43	30	1200	Y	520	84	55	700	Y	587	.	75	.	 	.	DALLAS	057	61	12.4	492	548	258	47.1	168	30.7	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909146	N	0	1	1	KATHERINE STEPHENS EL	 	N	N	N	N	N	N	N	N	N	N	N	87	50	653	Y	571	53	30	1600	Y	842	84	55	800	Y	672	.	75	.	 	.	DALLAS	057	99	18.5	536	559	354	63.3	165	29.5	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909147	N	0	0	0	VERNAL LISTER EL	 	N	N	N	N	N	N	N	N	N	N	N	78	50	680	Y	527	43	30	1600	Y	683	80	55	800	Y	640	.	75	.	 	.	DALLAS	057	88	15.6	564	586	331	56.5	211	36	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909148	N	0	0	0	NORMA DORSEY EL	 	N	N	N	N	N	N	N	N	N	N	N	88	50	753	Y	662	40	30	1600	Y	633	85	55	900	Y	768	.	75	.	 	.	DALLAS	057	57	10	572	629	297	47.2	163	25.9	M	 	GARLAND ISD	05	KG	KG - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909154	N	0	0	0	STEADHAM EL	 	N	N	N	N	N	N	N	N	N	N	N	86	50	646	Y	558	43	30	1600	Y	687	80	55	1000	Y	797	.	75	.	 	.	DALLAS	057	63	13	483	546	207	37.9	91	16.7	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909155	N	1	1	1	JOHN W ARMSTRONG EL	 	N	N	N	N	N	N	N	N	N	N	N	89	50	919	Y	815	52	30	1200	Y	618	86	55	800	Y	684	.	75	.	 	.	DALLAS	057	50	7.8	638	838	317	37.8	228	27.2	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909156	N	0	0	0	NITA PEARSON EL	 	N	N	N	N	N	N	N	N	N	N	N	82	50	858	Y	702	40	30	1600	Y	634	84	55	1100	Y	920	.	75	.	 	.	DALLAS	057	67	11.1	603	716	386	53.9	171	23.9	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909157	N	1	1	1	GLEN COUCH EL	 	N	N	N	N	N	N	N	N	N	N	N	76	50	709	Y	542	51	30	1600	Y	811	69	55	800	Y	554	.	75	.	 	.	DALLAS	057	110	19.2	573	611	359	58.8	100	16.4	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909158	N	0	0	0	LIBERTY GROVE EL	 	N	N	N	N	N	N	N	N	N	N	N	72	50	737	Y	529	37	30	1400	Y	518	67	55	800	Y	539	.	75	.	 	.	DALLAS	057	48	9.3	517	652	305	46.8	153	23.5	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909159	N	0	0	0	GEORGE WASHINGTON CARVER EL	 	N	N	N	N	N	N	N	N	N	N	N	73	50	638	Y	466	42	30	1200	Y	505	72	55	800	Y	572	.	75	.	 	.	DALLAS	057	92	17	541	728	533	73.2	383	52.6	M	 	GARLAND ISD	05	EE	EE - 05	E	 	 	10	REGION 10: RICHARDSON	 
057909180	N	 	 	 	CISNEROS PRE-K CTR	 	N	N	N	N	Y	N	N	A	N	N	N	.	.	.	P	.	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	DALLAS	057	.	.	.	822	643	78.2	556	67.6	M	 	GARLAND ISD	PK	EE	EE - PK	E	057909105	CENTERVILLE EL	10	REGION 10: RICHARDSON	 
057909181	N	 	 	 	PARSONS PRE-K CTR	 	N	N	N	N	Y	N	N	A	N	N	N	.	.	.	P	.	.	30	0	P	.	.	.	0	P	.	.	.	.	P	.	DALLAS	057	.	.	.	646	486	75.2	392	60.7	M	 	GARLAND ISD	PK	EE	EE - PK	E	057909128	ETHRIDGE EL	10	REGION 10: RICHARDSON	 
057910002	N	1	1	1	GRAND PRAIRIE H S	 	N	N	N	N	N	N	N	N	N	N	N	64	50	5863	Y	3770	28	17	1600	Y	440	64	55	1500	Y	962	87	75	1000	Y	868.5	DALLAS	057	473	22.1	2139	1905	1512	79.4	403	21.2	M	 	GRAND PRAIRIE ISD	12	09	09 - 12	S	 	 	10	REGION 10: RICHARDSON	 
057910003	N	0	1	0	SO GRAND PRAIRIE H S	 	N	N	N	N	N	N	N	N	N	N	N	80	50	6989	Y	5600	32	17	2000	Y	648	76	55	1500	Y	1145	91	75	1200	Y	1087.8	DALLAS	057	396	15.8	2504	2313	1251	54.1	160	6.9	M	 	GRAND PRAIRIE ISD	12	09	09 - 12	S	 	 	10	REGION 10: RICHARDSON	 
057910004	N	 	 	 	LAMAR ALTERNATIVE EDUCATION PROGRA	 	N	N	N	Y	N	N	N	N	N	N	N	.	50	0	X	0	.	.	0	X	.	.	55	0	X	.	.	75	.	X	.	DALLAS	057	589	100	589	94	74	78.7	18	19.1	X	 	GRAND PRAIRIE ISD	12	06	06 - 12	B	 	 	10	REGION 10: RICHARDSON	 
057910005	N	0	0	0	GRAND PRAIRIE HIGH 9TH GRADE CTR	 	N	N	N	N	N	N	N	N	N	N	N	59	50	2931	Y	1729	17	17	1600	Y	268	63	55	1500	Y	949	88	75	600	Y	525	DALLAS	057	305	35.1	869	664	569	85.7	188	28.3	M	 	GRAND PRAIRIE ISD	09	09	09 - 09	S	 	 	10	REGION 10: RICHARDSON	 
057910006	N	1	1	0	SOUTH GRAND PRAIRIE HIGH 9TH GRADE	 	N	N	N	N	N	N	N	N	N	N	N	74	50	3843	Y	2862	25	17	2400	Y	607	75	55	1500	Y	1127	91	75	700	Y	637	DALLAS	057	148	16.1	917	802	461	57.5	73	9.1	M	 	GRAND PRAIRIE ISD	10	08	08 - 10	S	 	 	10	REGION 10: RICHARDSON	 
057910007	N	 	 	 	P A S S LEARNING CTR	 	N	N	N	N	N	Y	N	N	N	N	N	.	50	.	X	.	.	.	0	X	.	.	55	0	X	.	.	75	.	X	.	DALLAS	057	26	96.3	27	13	9	69.2	2	15.4	X	 	GRAND PRAIRIE ISD	12	06	06 - 12	B	 	 	10	REGION 10: RICHARDSON	 
057910009	N	 	 	 	CROSSWINDS H S	AEC OF CHOICE	Y	Y	N	N	N	N	N	N	N	N	N	61	25	62	Y	38	.	9	0	Z	.	72	30	400	Y	286	100	45	400	Y	284	DALLAS	057	461	78.5	587	320	219	68.4	58	18.1	A	 	GRAND PRAIRIE ISD	12	09	09 - 12	S	 	 	10	REGION 10: RICHARDSON	 
057910010	N	1	1	1	JOHN DUBISKI CAREER H S	 	N	N	N	N	N	N	N	N	N	N	N	86	50	5679	Y	4866	28	17	2600	Y	722	87	55	1500	Y	1303	99	75	1200	Y	1190.8	DALLAS	057	53	3.5	1522	1520	1063	69.9	230	15.1	M	 	GRAND PRAIRIE ISD	12	09	09 - 12	S	 	 	10	REGION 10: RICHARDSON	 
057910041	N	0	0	0	ADAMS MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	65	50	1927	Y	1244	36	29	1600	Y	576	64	55	1500	Y	953	.	75	.	Z	.	DALLAS	057	227	25.1	905	715	620	86.7	202	28.3	M	 	GRAND PRAIRIE ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057910045	N	0	0	0	JACKSON MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	72	50	2993	Y	2161	34	29	2000	Y	689	71	55	1500	Y	1067	.	75	.	Z	.	DALLAS	057	130	11.5	1130	1023	749	73.2	157	15.3	M	 	GRAND PRAIRIE ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057910047	N	0	0	0	HARRY S TRUMAN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	77	50	1702	Y	1303	37	29	2000	Y	739	73	55	1500	Y	1089	.	75	.	Z	.	DALLAS	057	84	13.4	629	569	353	62	36	6.3	M	 	GRAND PRAIRIE ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057910050	N	1	1	1	RONALD REAGAN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	89	50	2684	Y	2378	46	29	2400	Y	1096	82	55	1500	Y	1234	.	75	.	Z	.	DALLAS	057	63	8.3	759	902	380	42.1	42	4.7	M	 	GRAND PRAIRIE ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057910051	N	1	0	1	FANNIN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	66	50	1969	Y	1292	33	29	1200	Y	396	73	55	700	Y	514	.	75	.	 	.	DALLAS	057	140	17.5	798	746	688	92.2	360	48.3	M	 	GRAND PRAIRIE ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057910052	N	0	0	0	YOUNG MEN'S LEADERSHIP ACADEMY AT	 	N	N	N	N	N	N	Y	N	N	N	N	65	50	2619	Y	1695	35	29	2000	Y	693	63	55	500	Y	315	.	75	.	 	.	DALLAS	057	.	.	.	967	819	84.7	282	29.2	M	 	GRAND PRAIRIE ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057910053	N	0	1	1	YOUNG WOMEN'S LEADERSHIP ACADEMY A	 	N	N	N	N	N	N	Y	N	N	N	N	70	50	2836	Y	1999	41	29	1600	Y	649	69	55	500	Y	344	.	75	.	 	.	DALLAS	057	.	.	.	1024	863	84.3	294	28.7	M	 	GRAND PRAIRIE ISD	08	06	06 - 08	M	 	 	10	REGION 10: RICHARDSON	 
057910101	N	0	0	0	AUSTIN EL	 	N	N	N	N	N	N	N	N	N	N	N	68	50	509	Y	345	38	30	1000	Y	376	68	55	700	Y	478	.	75	.	 	.	DALLAS	057	103	21.1	488	578	505	87.4	263	45.5	M	 	GRAND PRAIRIE ISD	05	PK	PK - 05	E	 	 	10	REGION 10: RICHARDSON	 
057910102	N	0	0	0	BOWIE EL	 	N	N	N	N	N	N	N	N	N	N	N	67	50	274	Y	183	36	30	800	Y	285	71	55	600	Y	428	.	75	.	 	.	DALLAS	057	70	19.6	358	443	407	91.9	207	46.7	M	 	GRAND PRAIRIE ISD	04	PK	PK - 04	E	 	 	10	REGION 10: RICHARDSON	 
