CAMPUS	CAD_GAP	CAD_MATH	CAD_POST	CAD_PROGRESS	CAD_READ	CAD_SCIE	CAD_SOCI	CAMPNAME	CFLAEATYPE	CFLAEC	CFLALTED	CFLCHART	CFLDAEP	CFLEEK	CFLJJ	CFLNEWCAMP	CFLPAIR	CFLPAIRD	CFLPAIRO	CFLRTF	CI1	CI1_CUT	CI1_MAXPTS	CI1_MET	CI1_TOTPTS	CI2	CI2_CUT	CI2_MAXPTS	CI2_MET	CI2_TOTPTS	CI3	CI3_CUT	CI3_MAXPTS	CI3_MET	CI3_TOTPTS	CI4	CI4_CUT	CI4_GRD_WGT	CI4_MET	CI4_PSG_WGT	CI4_RHS_WGT	CI4_STR_WGT	CNTYNAME	COUNTY	CPEMALLC	CPEMALLP	CPEMALLT	CPETALLC	CPETECOC	CPETECOP	CPETLEPC	CPETLEPP	C_RATING	C_UPDATE	DISTNAME	DISTRICT	GRDHIGH	GRDLOW	GRDSPAN	GRDTYPE	PAIRCAMP	PAIRNAME	REGION	REGNNAME
061901039	 	 	 	 	 	 	 	FRED MOORE H S	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	75	35	59	Y	44	.	7	0	Z	.	21	11	600	Y	125	100	33	63.1	Y	.	.	11.5	DENTON	061	100	76.3	131	76	29	38.2	4	5.3	A	 	DENTON ISD	061901	12	09	09 - 12	S	 	 	11	REGION 11: FORT WORTH
061901040	 	 	 	 	 	 	 	JOE DALE SPARKS CAMPUS	RESIDENTIAL FACILITY	N	Y	N	N	N	N	N	N	N	N	Y	79	35	53	X	42	22	7	200	X	44	13	11	200	X	25	.	.	.	X	.	.	.	DENTON	061	240	97.6	246	54	9	16.7	6	11.1	X	 	DENTON ISD	061901	12	07	07 - 12	S	 	 	11	REGION 11: FORT WORTH
061901041	0	0	0	0	0	1	1	CROWNOVER MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	91	60	1769	Y	1616	38	28	1400	Y	526	49	27	2000	Y	982	53	13	.	Y	.	.	53.2	DENTON	061	89	9.2	963	936	230	24.6	47	5	M	 	DENTON ISD	061901	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061901044	0	0	0	0	0	0	0	STRICKLAND MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	77	60	1593	Y	1219	35	28	1200	Y	414	38	27	2600	Y	989	30	13	.	Y	.	.	30	DENTON	061	140	14.7	953	899	548	61	188	20.9	M	 	DENTON ISD	061901	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061901045	0	0	1	0	1	0	0	CALHOUN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	71	60	1127	Y	801	33	28	1200	Y	392	34	27	2000	Y	678	29	13	.	Y	.	.	29	DENTON	061	155	21.1	733	684	495	72.4	157	23	M	 	DENTON ISD	061901	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061901046	0	1	1	0	1	1	1	MCMATH MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	87	60	1384	Y	1202	37	28	1400	Y	521	45	27	2200	Y	994	48	13	.	Y	.	.	47.8	DENTON	061	94	11.9	790	741	316	42.6	90	12.1	M	 	DENTON ISD	061901	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061901047	0	0	0	0	0	0	0	NAVO MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	85	60	1973	Y	1686	39	28	1400	Y	546	43	27	2400	Y	1022	40	13	.	Y	.	.	40	DENTON	061	148	13.6	1086	1077	326	30.3	36	3.3	M	 	DENTON ISD	061901	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061901048	0	0	0	0	0	0	0	HARPOOL MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	93	60	1780	Y	1657	41	28	1200	Y	495	49	27	1800	Y	889	54	13	.	Y	.	.	53.6	DENTON	061	49	5	982	914	97	10.6	31	3.4	M	 	DENTON ISD	061901	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061901049	0	1	0	0	0	0	0	BETTYE MYERS MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	74	60	1470	Y	1088	35	28	1400	Y	487	32	27	2400	Y	771	29	13	.	Y	.	.	28.5	DENTON	061	134	16.6	805	828	526	63.5	168	20.3	M	 	DENTON ISD	061901	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061901102	0	 	0	0	0	0	 	HOUSTON EL	 	N	N	N	N	N	N	N	N	N	N	N	89	60	438	Y	391	46	30	400	Y	185	45	28	1000	Y	452	34	12	.	Y	.	.	34	DENTON	061	71	12.8	553	581	174	29.9	46	7.9	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901104	0	 	0	0	0	0	 	LEE EL	 	N	N	N	N	N	N	N	N	N	N	N	67	60	414	Y	276	39	30	800	Y	314	34	28	1200	Y	402	19	12	.	Y	.	.	19.3	DENTON	061	74	14.1	525	619	482	77.9	256	41.4	M	 	DENTON ISD	061901	05	PK	PK - 05	E	 	 	11	REGION 11: FORT WORTH
061901105	0	 	0	0	0	0	 	HODGE EL	 	N	N	N	N	N	N	N	N	N	Y	N	71	60	506	Y	357	40	30	800	Y	318	34	28	1200	Y	407	22	12	.	Y	.	.	21.7	DENTON	061	99	15.8	625	690	560	81.2	363	52.6	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901106	0	 	1	0	0	0	 	MCNAIR EL	 	N	N	N	N	N	N	N	N	N	N	N	85	60	501	Y	425	37	30	600	Y	219	47	28	1600	Y	750	43	12	.	Y	.	.	42.8	DENTON	061	43	9.3	462	573	198	34.6	36	6.3	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901107	0	 	0	0	0	0	 	NEWTON RAYZOR EL	 	N	N	N	N	N	N	N	N	N	N	N	71	60	492	Y	350	41	30	800	Y	329	32	28	1200	Y	387	24	12	.	Y	.	.	23.8	DENTON	061	101	16.6	607	651	352	54.1	184	28.3	M	 	DENTON ISD	061901	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061901108	0	 	0	0	0	0	 	RIVERA EL	 	N	N	N	N	N	N	N	N	N	N	N	67	60	384	Y	258	32	30	800	Y	257	35	28	1400	Y	487	18	12	.	Y	.	.	17.5	DENTON	061	137	25.4	540	634	564	89	214	33.8	M	 	DENTON ISD	061901	05	PK	PK - 05	E	 	 	11	REGION 11: FORT WORTH
061901109	0	 	1	0	0	1	 	WILSON EL	 	N	N	N	N	N	N	N	N	N	Y	N	88	60	426	Y	374	46	30	800	Y	369	47	28	1400	Y	662	37	12	.	Y	.	.	37	DENTON	061	45	8.9	507	588	273	46.4	101	17.2	M	 	DENTON ISD	061901	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061901110	0	 	0	0	0	0	 	GINNINGS EL	 	N	N	N	N	N	N	N	N	N	N	N	60	60	429	Y	258	38	30	800	Y	302	29	28	1200	Y	348	18	12	.	Y	.	.	17.7	DENTON	061	103	18.2	567	619	467	75.4	206	33.3	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901111	0	 	0	0	0	0	 	BORMAN EL	 	N	N	N	N	N	N	N	N	N	N	N	48	60	302	N	144	31	30	600	Y	184	21	28	1200	N	251	10	12	.	N	.	.	10.3	DENTON	061	97	24.2	401	457	372	81.4	221	48.4	I	 	DENTON ISD	061901	05	PK	PK - 05	E	 	 	11	REGION 11: FORT WORTH
061901112	0	 	0	0	0	0	 	EVERS PARK EL	 	N	N	N	N	N	N	N	N	N	N	N	73	60	362	Y	264	43	30	800	Y	341	35	28	1400	Y	485	20	12	.	Y	.	.	19.5	DENTON	061	100	19.3	518	544	387	71.1	141	25.9	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901113	0	 	0	1	0	0	 	RYAN EL	 	N	N	N	N	N	N	N	N	N	N	N	73	60	430	Y	314	53	30	800	Y	424	34	28	1200	Y	408	35	12	.	Y	.	.	35	DENTON	061	67	12.4	542	587	340	57.9	235	40	M	 	DENTON ISD	061901	05	PK	PK - 05	E	 	 	11	REGION 11: FORT WORTH
061901114	 	 	 	 	 	 	 	THE ANN WINDLE SCHOOL FOR YOUNG CH	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	DENTON	061	.	.	.	112	97	86.6	40	35.7	M	 	DENTON ISD	061901	PK	PK	PK - PK	E	061901105	HODGE EL	11	REGION 11: FORT WORTH
061901115	0	 	0	1	1	0	 	EP RAYZOR EL	 	N	N	N	N	N	N	N	N	N	N	N	96	60	423	Y	407	58	30	400	Y	233	57	28	800	Y	456	61	12	.	Y	.	.	61	DENTON	061	46	7.3	627	465	11	2.4	6	1.3	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901116	0	 	0	0	0	0	 	PECAN CREEK EL	 	N	N	N	N	N	N	N	N	N	N	N	83	60	450	Y	374	44	30	800	Y	348	38	28	1200	Y	461	31	12	.	Y	.	.	31.3	DENTON	061	64	9.7	662	691	260	37.6	184	26.6	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901117	0	 	0	0	0	0	 	PROVIDENCE EL	 	N	N	N	N	N	N	N	N	N	N	N	83	60	519	Y	429	40	30	800	Y	316	39	28	1000	Y	389	35	12	.	Y	.	.	34.5	DENTON	061	91	16.3	557	655	148	22.6	19	2.9	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901118	0	 	0	0	0	0	 	HAWK EL	 	N	N	N	N	N	N	N	N	N	N	N	94	60	566	Y	530	47	30	400	Y	188	53	28	800	Y	424	49	12	.	Y	.	.	49	DENTON	061	38	6.3	601	724	65	9	14	1.9	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901119	0	 	0	0	0	0	 	SAVANNAH EL	 	N	N	N	N	N	N	N	N	N	N	N	78	60	466	Y	362	42	30	600	Y	249	41	28	1000	Y	407	28	12	.	Y	.	.	27.5	DENTON	061	86	15.5	555	636	143	22.5	17	2.7	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901120	0	 	0	0	0	0	 	PALOMA CREEK EL	 	N	N	N	N	N	N	N	N	N	N	N	77	60	507	Y	392	37	30	800	Y	294	38	28	1400	Y	538	23	12	.	Y	.	.	22.5	DENTON	061	72	12.7	567	668	190	28.4	45	6.7	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901121	0	 	0	0	0	0	 	NELSON EL	 	N	N	N	N	N	N	N	N	N	N	N	85	60	515	Y	437	42	30	800	Y	339	44	28	1400	Y	615	34	12	.	Y	.	.	34.3	DENTON	061	68	11.6	585	649	220	33.9	49	7.6	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901122	0	 	0	0	0	0	 	BLANTON EL	 	N	N	N	N	N	N	N	N	N	N	N	92	60	508	Y	468	46	30	400	Y	185	52	28	600	Y	311	53	12	.	Y	.	.	53	DENTON	061	62	9.3	669	573	17	3	10	1.7	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061901123	0	 	0	0	0	0	 	STEPHENS EL	 	N	N	N	N	N	N	N	N	N	N	N	78	60	406	Y	318	42	30	600	Y	254	38	28	800	Y	307	31	12	.	Y	.	.	30.8	DENTON	061	55	12.2	451	536	225	42	22	4.1	M	 	DENTON ISD	061901	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061901124	 	 	 	 	 	 	 	EMILIO & GUADALUPE GONZALEZ PRE-K	 	N	N	N	N	Y	N	N	Y	N	N	N	.	.	.	P	.	.	.	0	P	.	.	.	0	P	.	.	.	.	P	.	.	.	DENTON	061	.	.	.	384	336	87.5	129	33.6	M	 	DENTON ISD	061901	PK	EE	EE - PK	E	061901109	WILSON EL	11	REGION 11: FORT WORTH
061901125	0	 	0	1	0	0	 	CROSS OAKS EL	 	N	N	N	N	N	N	N	N	N	N	N	72	60	371	Y	267	51	30	800	Y	406	36	28	1000	Y	359	24	12	.	Y	.	.	23.5	DENTON	061	69	16.4	421	592	260	43.9	52	8.8	M	 	DENTON ISD	061901	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061901126	0	 	0	0	0	1	 	DOROTHY P ADKINS EL	 	N	N	N	N	N	N	Y	N	N	N	N	92	60	251	Y	231	45	30	400	Y	180	44	28	200	Y	88	43	12	.	Y	.	.	43	DENTON	061	.	.	.	298	28	9.4	17	5.7	M	 	DENTON ISD	061901	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061902001	0	1	0	0	0	0	0	LEWISVILLE H S	 	N	N	N	N	N	N	N	N	N	N	N	83	60	1440	Y	1190	23	15	600	Y	139	35	31	800	Y	282	77	57	22.3	Y	17.9	21.6	15.2	DENTON	061	332	16.9	1963	1986	987	49.7	249	12.5	M	 	LEWISVILLE ISD	061902	12	10	10 - 12	S	 	 	11	REGION 11: FORT WORTH
061902002	0	0	1	1	0	0	0	MARCUS H S	 	N	N	N	N	N	N	N	N	N	N	N	95	60	1794	Y	1710	33	15	800	Y	265	58	31	1400	Y	806	89	57	23.9	Y	21.7	22.5	20.9	DENTON	061	254	7.7	3316	2439	173	7.1	18	0.7	M	 	LEWISVILLE ISD	061902	12	09	09 - 12	S	 	 	11	REGION 11: FORT WORTH
061902004	1	0	1	1	1	1	1	THE COLONY H S	 	N	N	N	N	N	N	N	N	N	N	N	91	60	2461	Y	2250	26	15	1400	Y	361	50	31	2400	Y	1208	83	57	24.6	Y	18.8	23.9	16.1	DENTON	061	240	11.6	2068	1987	722	36.3	80	4	M	 	LEWISVILLE ISD	061902	12	09	09 - 12	S	 	 	11	REGION 11: FORT WORTH
061902005	 	 	 	 	 	 	 	LEARNING CTR	AEC OF CHOICE - DRS	Y	Y	N	N	N	N	N	N	N	N	N	53	35	256	Y	136	22	7	200	Y	43	21	11	1000	Y	212	91	33	57.5	Y	.	.	3.2	DENTON	061	373	85.6	436	228	119	52.2	43	18.9	A	 	LEWISVILLE ISD	061902	12	01	01 - 12	B	 	 	11	REGION 11: FORT WORTH
061902007	 	 	 	 	 	 	 	DENTON CO J J A E P	 	N	N	N	N	N	Y	N	N	N	N	N	.	60	0	X	0	.	15	0	X	.	.	31	0	X	.	.	.	.	X	.	.	.	DENTON	061	48	100	48	12	5	41.7	1	8.3	X	 	LEWISVILLE ISD	061902	12	08	08 - 12	S	 	 	11	REGION 11: FORT WORTH
061902008	0	1	0	1	0	0	1	HEBRON H S	 	N	N	N	N	N	N	N	N	N	N	N	90	60	1917	Y	1731	33	15	1200	Y	394	45	31	800	Y	363	86	57	24	Y	20.3	22.1	19.2	DENTON	061	294	11.9	2465	2458	419	17	107	4.4	M	 	LEWISVILLE ISD	061902	12	09	09 - 12	S	 	 	11	REGION 11: FORT WORTH
061902009	0	1	1	1	1	0	 	LEWISVILLE H S C DOUGLAS KILLOUGH	 	N	N	N	N	N	N	N	N	N	N	N	84	60	1770	Y	1495	28	15	1200	Y	340	46	31	1800	Y	824	59	21	.	Y	.	.	59.3	DENTON	061	102	9.9	1034	965	564	58.4	194	20.1	M	 	LEWISVILLE ISD	061902	10	09	09 - 10	S	 	 	11	REGION 11: FORT WORTH
061902010	1	1	1	1	1	0	0	FLOWER MOUND H S	 	N	N	N	N	N	N	N	N	N	N	N	96	60	1770	Y	1697	37	15	800	Y	292	63	31	1200	Y	761	91	57	24.4	Y	22.2	23.8	20.7	DENTON	061	156	4.6	3378	2550	84	3.3	20	0.8	M	 	LEWISVILLE ISD	061902	12	09	09 - 12	S	 	 	11	REGION 11: FORT WORTH
061902012	0	0	0	0	1	0	 	HEBRON 9TH GRADE CENTER	 	N	N	N	N	N	N	N	N	N	N	N	91	60	2219	Y	2023	27	15	1400	Y	379	48	31	1800	Y	858	64	21	.	Y	.	.	63.6	DENTON	061	80	8.6	932	897	179	20	64	7.1	M	 	LEWISVILLE ISD	061902	09	09	09 - 09	S	 	 	11	REGION 11: FORT WORTH
061902013	0	0	0	0	1	0	 	MARCUS 9TH GRADE CAMPUS	 	N	N	N	N	N	N	Y	N	N	N	N	96	60	2167	Y	2071	26	15	800	Y	210	54	31	600	Y	322	77	21	.	Y	.	.	76.6	DENTON	061	.	.	.	835	58	6.9	7	0.8	M	 	LEWISVILLE ISD	061902	09	09	09 - 09	S	 	 	11	REGION 11: FORT WORTH
061902014	1	1	1	1	1	0	 	LEWISVILLE H S BEN HARMON CAMPUS	 	N	N	N	N	N	N	N	N	N	N	N	81	60	2235	Y	1808	27	15	1400	Y	374	48	31	1800	Y	870	56	21	.	Y	.	.	55.7	DENTON	061	208	16.1	1291	1205	710	58.9	221	18.3	M	 	LEWISVILLE ISD	061902	10	09	09 - 10	S	 	 	11	REGION 11: FORT WORTH
061902015	0	0	0	0	1	0	 	FLOWER MOUND 9TH GRADE CAMPUS	 	N	N	N	N	N	N	Y	N	N	N	N	96	60	2346	Y	2251	22	15	1000	Y	220	49	31	600	Y	295	79	21	.	Y	.	.	78.8	DENTON	061	.	.	.	950	38	4	12	1.3	M	 	LEWISVILLE ISD	061902	09	09	09 - 09	S	 	 	11	REGION 11: FORT WORTH
061902042	0	0	0	0	0	0	0	HEDRICK MIDDLE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	71	60	1234	Y	879	36	28	1400	Y	501	37	27	2000	Y	730	26	13	.	Y	.	.	26.4	DENTON	061	73	10.3	707	672	419	62.4	201	29.9	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902044	0	0	0	0	0	0	0	GRIFFIN MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	74	60	1536	Y	1141	31	28	1600	Y	501	35	27	2400	Y	844	34	13	.	Y	.	.	34	DENTON	061	56	7.2	783	765	356	46.5	91	11.9	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902045	0	0	0	0	0	0	0	LAMAR MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	91	60	1585	Y	1441	43	28	1400	Y	605	52	27	1800	Y	930	54	13	.	Y	.	.	53.5	DENTON	061	51	6.2	817	764	101	13.2	13	1.7	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902046	0	1	0	0	0	0	0	LAKEVIEW MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	75	60	1611	Y	1206	32	28	1600	Y	515	35	27	2800	Y	982	35	13	.	Y	.	.	35	DENTON	061	81	9.7	833	817	363	44.4	59	7.2	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902047	0	1	0	0	0	0	0	ARBOR CREEK MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	90	60	1737	Y	1565	44	28	1600	Y	711	45	27	2200	Y	995	51	13	.	Y	.	.	51.3	DENTON	061	66	6.9	951	894	152	17	33	3.7	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902048	0	0	0	0	0	0	0	FORESTWOOD MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	92	60	1358	Y	1253	45	28	1400	Y	632	56	27	2200	Y	1227	61	13	.	Y	.	.	61	DENTON	061	48	7	689	693	59	8.5	10	1.4	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902049	0	1	0	0	0	0	0	BRIARHILL MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	90	60	1962	Y	1774	47	28	1400	Y	653	47	27	1800	Y	848	57	13	.	Y	.	.	56.8	DENTON	061	47	4.7	993	955	53	5.5	14	1.5	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902050	0	1	0	0	0	0	0	DELAY MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	58	60	1633	N	955	32	28	1400	Y	450	33	27	2600	Y	865	20	13	.	Y	.	.	19.8	DENTON	061	149	15	996	984	852	86.6	522	53	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902052	0	0	0	1	0	0	0	HUFFINES MIDDLE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	73	60	1681	Y	1229	40	28	1600	Y	645	39	27	2800	Y	1080	37	13	.	Y	.	.	36.5	DENTON	061	87	9.5	915	842	418	49.6	108	12.8	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902053	0	0	0	0	0	0	0	MCKAMY MIDDLE	 	N	N	N	N	N	N	N	N	N	N	N	95	60	2367	Y	2237	47	28	1400	Y	659	55	27	1600	Y	878	70	13	.	Y	.	.	70.3	DENTON	061	38	3.3	1145	1110	23	2.1	12	1.1	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902054	0	1	1	0	1	0	0	CREEK VALLEY MIDDLE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	88	60	1598	Y	1411	39	28	1600	Y	617	44	27	2600	Y	1155	51	13	.	Y	.	.	50.5	DENTON	061	72	9.1	789	794	187	23.6	53	6.7	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902055	0	0	0	0	0	0	0	CLAYTON DOWNING MIDDLE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	93	60	1268	Y	1176	42	28	1000	Y	415	53	27	2000	Y	1066	65	13	.	Y	.	.	65.3	DENTON	061	27	4	673	606	21	3.5	6	1	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902056	0	0	0	1	1	0	0	MARSHALL DURHAM MIDDLE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	76	60	1310	Y	991	37	28	1400	Y	516	37	27	2600	Y	970	37	13	.	Y	.	.	37.2	DENTON	061	187	21.2	881	763	440	57.7	90	11.8	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902058	0	0	0	0	0	0	0	SHADOW RIDGE MIDDLE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	93	60	1593	Y	1481	45	28	1200	Y	539	61	27	2400	Y	1453	67	13	.	Y	.	.	66.8	DENTON	061	28	3.5	791	721	26	3.6	9	1.2	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902059	0	0	1	0	0	0	0	KILLIAN MIDDLE SCHOOL	 	N	N	N	N	N	N	N	N	N	N	N	86	60	1824	Y	1577	39	28	1400	Y	539	36	27	1800	Y	642	50	13	.	Y	.	.	50	DENTON	061	80	8.2	974	949	245	25.8	130	13.7	M	 	LEWISVILLE ISD	061902	08	06	06 - 08	M	 	 	11	REGION 11: FORT WORTH
061902101	0	 	0	0	0	0	 	CENTRAL ELEMENTARY	 	N	N	N	N	N	N	N	N	N	N	N	45	60	558	N	252	34	30	600	Y	201	22	28	600	N	133	11	12	.	N	.	.	10.5	DENTON	061	62	8.4	740	975	903	92.6	853	87.5	I	 	LEWISVILLE ISD	061902	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061902102	0	 	0	0	0	0	 	COLLEGE ST EL	 	N	N	N	N	N	N	N	N	N	N	N	60	60	202	Y	121	38	30	600	Y	229	28	28	800	Y	226	14	12	.	Y	.	.	14	DENTON	061	48	18.3	263	329	241	73.3	53	16.1	M	 	LEWISVILLE ISD	061902	05	PK	PK - 05	E	 	 	11	REGION 11: FORT WORTH
061902104	0	 	0	0	0	0	 	LAKELAND ELEMENTARY	 	N	N	N	N	N	N	N	N	N	N	N	54	60	593	N	319	28	30	1000	N	277	26	28	1400	N	370	26	12	.	Y	.	.	25.7	DENTON	061	87	11.6	753	847	744	87.8	624	73.7	I	 	LEWISVILLE ISD	061902	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061902105	0	 	0	0	0	0	 	HEDRICK EL	 	N	N	N	N	N	N	N	N	N	N	N	61	60	384	Y	233	36	30	600	Y	213	31	28	1200	Y	371	14	12	.	Y	.	.	14	DENTON	061	65	12.5	520	607	524	86.3	414	68.2	M	 	LEWISVILLE ISD	061902	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061902106	0	 	0	0	0	0	 	DEGAN EL	 	N	N	N	N	N	N	N	N	N	N	N	69	60	399	Y	275	35	30	800	Y	282	34	28	1000	Y	342	17	12	.	Y	.	.	17	DENTON	061	70	13.7	511	649	339	52.2	64	9.9	M	 	LEWISVILLE ISD	061902	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061902107	0	 	0	1	0	0	 	CAMEY EL	 	N	N	N	N	N	N	N	N	N	N	N	77	60	358	Y	277	48	30	600	Y	286	37	28	1000	Y	366	23	12	.	Y	.	.	23.3	DENTON	061	49	11.4	431	477	225	47.2	48	10.1	M	 	LEWISVILLE ISD	061902	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061902108	1	 	0	0	0	0	 	TIMBER CREEK EL	 	N	N	N	N	N	N	N	N	N	N	N	88	60	348	Y	307	45	30	600	Y	270	50	28	800	Y	398	37	12	.	Y	.	.	36.7	DENTON	061	49	12.6	389	470	126	26.8	36	7.7	M	 	LEWISVILLE ISD	061902	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061902109	0	 	0	0	0	0	 	PETERS COLONY ELEMENTARY	 	N	N	N	N	N	N	N	N	N	N	N	72	60	594	Y	428	35	30	1000	Y	353	36	28	1200	Y	437	26	12	.	Y	.	.	25.7	DENTON	061	59	9.1	649	844	580	68.7	431	51.1	M	 	LEWISVILLE ISD	061902	05	PK	PK - 05	E	 	 	11	REGION 11: FORT WORTH
061902110	0	 	0	0	0	0	 	HIGHLAND VILLAGE EL	 	N	N	N	N	N	N	N	N	N	N	N	80	60	300	Y	240	38	30	400	Y	150	31	28	600	Y	188	35	12	.	Y	.	.	35	DENTON	061	24	6.9	346	350	55	15.7	7	2	M	 	LEWISVILLE ISD	061902	05	KG	KG - 05	E	 	 	11	REGION 11: FORT WORTH
061902111	0	 	0	0	0	1	 	STEWARTS CREEK EL	 	N	N	N	N	N	N	N	N	N	N	N	70	60	207	Y	144	44	30	600	Y	265	36	28	1000	Y	356	21	12	.	Y	.	.	20.8	DENTON	061	81	21.4	379	415	271	65.3	36	8.7	M	 	LEWISVILLE ISD	061902	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061902112	1	 	0	0	0	0	 	FLOWER MOUND EL	 	N	N	N	N	N	N	N	N	N	N	N	90	60	429	Y	385	44	30	400	Y	174	54	28	600	Y	324	44	12	.	Y	.	.	44	DENTON	061	47	9.8	479	495	63	12.7	17	3.4	M	 	LEWISVILLE ISD	061902	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
061902113	0	 	0	0	0	0	 	INDIAN CREEK EL	 	N	N	N	N	N	N	N	N	N	N	N	78	60	514	Y	402	41	30	800	Y	330	37	28	1200	Y	441	30	12	.	Y	.	.	29.8	DENTON	061	32	6.6	484	628	197	31.4	68	10.8	M	 	LEWISVILLE ISD	061902	05	EE	EE - 05	E	 	 	11	REGION 11: FORT WORTH
